sex,province,feelings_life,education,political_pref,religion_participation,age,income_family
Male,Quebec,Not satisfied at all,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,35,"$$75,000 to $99,999"
Male,Quebec,Fairly satisfied,"University certificate, diploma or degree above the bach...","Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",At least once a year,24,"$25,000 to $49,999"
Female,Quebec,Fairly satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),Not at all,65,"$50,000 to $74,999"
Male,Quebec,Not very satisfied,University certificate or diploma below the bachelor's level,"(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,23,"Less than $25,000"
Female,Quebec,Fairly satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,40,"$100,000 to $ 124,999"
Female,Quebec,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",Not at all,48,"$50,000 to $74,999"
Male,Quebec,Fairly satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,36,"$125,000 and more"
Male,Quebec,Fairly satisfied,High school diploma or a high school equivalency certificate,"(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,36,"$100,000 to $ 124,999"
Male,Quebec,Fairly satisfied,Less than high school diploma or its equivalent,People's Party,Not at all,39,"$125,000 and more"
Male,Quebec,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,33,"$125,000 and more"
Male,Quebec,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a year,59,"$125,000 and more"
Female,Quebec,Not satisfied at all,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,40,"$50,000 to $74,999"
Female,Quebec,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a month,60,"$50,000 to $74,999"
Female,Quebec,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,47,"$25,000 to $49,999"
Female,Quebec,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,47,"$125,000 and more"
Male,Quebec,Fairly satisfied,High school diploma or a high school equivalency certificate,"Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",Not at all,70,"$25,000 to $49,999"
Female,Quebec,Not very satisfied,"University certificate, diploma or degree above the bach...",Green Party (Greens),Not at all,48,"$$75,000 to $99,999"
Male,Quebec,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a week,47,"$50,000 to $74,999"
Female,Quebec,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Will spoil ballet,Not at all,41,"$25,000 to $49,999"
Male,British Columbia,Not very satisfied,University certificate or diploma below the bachelor's level,Liberal (Grits),At least once a year,36,"$25,000 to $49,999"
Male,Quebec,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),Not at all,25,"Less than $25,000"
Male,Quebec,Not very satisfied,"University certificate, diploma or degree above the bach...",People's Party,Not at all,50,"$50,000 to $74,999"
Male,Quebec,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,39,"$100,000 to $ 124,999"
Male,Quebec,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,32,"$25,000 to $49,999"
Female,Quebec,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",Not at all,43,"$50,000 to $74,999"
Female,Quebec,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a year,42,"$125,000 and more"
Male,Quebec,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",Not at all,20,"$25,000 to $49,999"
Male,Quebec,Not very satisfied,High school diploma or a high school equivalency certificate,"Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",Not at all,41,"$25,000 to $49,999"
Male,Quebec,Not very satisfied,High school diploma or a high school equivalency certificate,"Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",At least once a year,30,"$$75,000 to $99,999"
Female,Quebec,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Will spoil ballet,Not at all,26,"$$75,000 to $99,999"
Male,Quebec,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,34,"$125,000 and more"
Male,Quebec,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,50,"$125,000 and more"
Female,Ontario,Very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,64,"$125,000 and more"
Female,Ontario,Fairly satisfied,"University certificate, diploma or degree above the bach...",Green Party (Greens),At least once a week,33,"$$75,000 to $99,999"
Male,Ontario,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a year,33,"$50,000 to $74,999"
Male,Ontario,Fairly satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,46,"$125,000 and more"
Male,Ontario,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,33,"$100,000 to $ 124,999"
Female,Quebec,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,40,"$125,000 and more"
Male,Ontario,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,18,"Less than $25,000"
Female,Ontario,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a week,58,"$50,000 to $74,999"
Female,Ontario,Fairly satisfied,University certificate or diploma below the bachelor's level,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,55,"$125,000 and more"
Male,Ontario,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,73,"$100,000 to $ 124,999"
Male,Ontario,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,60,"$125,000 and more"
Female,Ontario,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,24,"$25,000 to $49,999"
Female,Ontario,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,40,"$125,000 and more"
Male,Ontario,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a year,55,"$125,000 and more"
Female,Ontario,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a year,40,"$50,000 to $74,999"
Male,Ontario,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,27,"Less than $25,000"
Male,Ontario,Not very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a month,35,"$$75,000 to $99,999"
Male,Ontario,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,54,"$100,000 to $ 124,999"
Male,Ontario,Not satisfied at all,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a year,30,"$125,000 and more"
Male,Ontario,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a week,34,"$125,000 and more"
Female,Ontario,Fairly satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,39,"$125,000 and more"
Female,Ontario,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,29,"$$75,000 to $99,999"
Male,Ontario,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,47,"$125,000 and more"
Male,Ontario,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a month,57,"$50,000 to $74,999"
Male,Ontario,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,39,"$125,000 and more"
Male,Ontario,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,37,"$50,000 to $74,999"
Male,Ontario,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",People's Party,At least once a year,39,"$125,000 and more"
